season,week,posteam,total_plays,pass_plays,rush_plays,pass_pct,rush_pct,red_zone_pass_pct,deep_pass_pct,avg_air_yards,avg_yards_after_catch
2024,8,BUF,69,35,34,0.5072463768115942,0.4927536231884058,0.3888888888888889,NA,7.0588235294117645,6.625
2024,8,CAR,60,40,20,0.6666666666666666,0.3333333333333333,0.8571428571428571,NA,8.657894736842104,4.5
2024,8,CHI,61,28,33,0.45901639344262296,0.5409836065573771,0.3333333333333333,NA,13.083333333333334,3.9
2024,8,CIN,58,38,20,0.6551724137931034,0.3448275862068966,0.75,NA,8.027027027027026,3.576923076923077
2024,8,CLE,67,44,23,0.6567164179104478,0.34328358208955223,0.625,NA,10.024390243902438,2.5185185185185186
2024,8,DAL,59,40,19,0.6779661016949152,0.3220338983050847,0.8,NA,9.131578947368421,3.88
2024,8,DEN,73,41,32,0.5616438356164384,0.4383561643835616,0.5555555555555556,NA,10.461538461538462,4.166666666666667
2024,8,DET,47,23,24,0.48936170212765956,0.5106382978723404,0.5333333333333333,NA,3.5789473684210527,5.066666666666666
2024,8,GB,67,28,39,0.417910447761194,0.582089552238806,0.38461538461538464,NA,10.296296296296296,6.666666666666667
2024,8,HOU,68,39,29,0.5735294117647058,0.4264705882352941,0.5555555555555556,NA,7.513513513513513,4.76
2024,8,IND,63,37,26,0.5873015873015873,0.4126984126984127,0,NA,15.28125,8.9
2024,8,JAX,56,33,23,0.5892857142857143,0.4107142857142857,0.42857142857142855,NA,9.71875,6
2024,8,KC,68,39,29,0.5735294117647058,0.4264705882352941,0.5714285714285714,NA,6.684210526315789,3.8518518518518516
2024,8,LA,66,34,32,0.5151515151515151,0.48484848484848486,0.36363636363636365,0.08823529411764706,7.617647058823529,5.12
2024,8,LAC,64,35,29,0.546875,0.453125,0.6,NA,7.65625,6.15
2024,8,LV,56,35,21,0.625,0.375,0.5,NA,4.6,4.208333333333333
2024,8,MIA,64,39,25,0.609375,0.390625,0.5,NA,5.052631578947368,4.642857142857143
2024,8,MIN,50,28,22,0.56,0.44,0.5555555555555556,NA,10.4,3.888888888888889
2024,8,NE,64,33,31,0.515625,0.484375,0.5,NA,8.9,4.333333333333333
2024,8,NO,68,47,21,0.6911764705882353,0.3088235294117647,1,NA,7.166666666666667,5.636363636363637
